Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
93,93,9,9,85,85,16,Train/16/00016_00008_00023.png
44,44,5,5,39,39,25,Test/11935.png
35,34,6,5,30,29,10,Test/12586.png
106,106,10,10,97,97,1,Train/1/00001_00071_00029.png
42,40,6,5,37,35,14,Test/10170.png
37,34,5,5,32,29,5,Train/5/00005_00037_00018.png
56,53,5,5,51,47,31,Train/31/00031_00001_00019.png
120,111,11,9,110,101,25,Train/25/00025_00008_00018.png
35,35,5,5,30,30,2,Train/2/00002_00018_00013.png
35,37,6,6,30,32,1,Test/00473.png
58,60,5,6,53,55,38,Train/38/00038_00003_00025.png
47,48,5,6,42,43,10,Train/10/00010_00000_00019.png
56,51,6,5,51,46,23,Train/23/00023_00013_00015.png
118,116,11,10,108,106,16,Train/16/00016_00000_00023.png
37,36,6,5,32,31,4,Train/4/00004_00012_00012.png
56,55,6,5,51,50,14,Train/14/00014_00012_00024.png
96,90,8,8,87,82,11,Test/07108.png
63,64,6,6,58,59,12,Train/12/00012_00001_00024.png
48,49,5,6,43,44,1,Train/1/00001_00045_00008.png
93,93,8,9,85,84,12,Train/12/00012_00005_00028.png
35,34,6,5,30,29,31,Train/31/00031_00006_00008.png
28,30,6,6,23,25,17,Train/17/00017_00011_00025.png
44,46,6,5,39,41,24,Train/24/00024_00008_00009.png
56,56,6,5,51,51,2,Test/11490.png
47,49,5,6,42,44,5,Train/5/00005_00049_00025.png
50,51,6,6,45,46,12,Train/12/00012_00057_00024.png
52,52,6,5,46,46,4,Train/4/00004_00007_00027.png
37,35,5,5,31,30,37,Test/01095.png
33,34,6,6,28,29,17,Train/17/00017_00027_00011.png
32,33,5,5,27,28,5,Train/5/00005_00000_00006.png
54,50,5,6,49,45,13,Train/13/00013_00017_00011.png
48,51,6,5,43,46,1,Train/1/00001_00008_00011.png
54,57,6,6,49,52,4,Train/4/00004_00001_00021.png
27,31,6,5,22,26,17,Train/17/00017_00036_00006.png
29,31,5,6,24,26,38,Test/09196.png
80,79,7,7,73,72,25,Train/25/00025_00026_00028.png
36,36,5,5,31,31,1,Train/1/00001_00047_00007.png
35,35,5,5,30,30,2,Train/2/00002_00044_00009.png
31,32,5,6,25,27,4,Train/4/00004_00014_00008.png
36,36,5,5,30,30,4,Train/4/00004_00050_00014.png
62,59,6,6,57,54,31,Test/08889.png
35,35,6,5,30,30,4,Train/4/00004_00030_00009.png
43,43,5,5,38,38,1,Test/03534.png
46,48,5,6,41,43,30,Train/30/00030_00012_00017.png
80,80,8,8,73,73,14,Train/14/00014_00015_00022.png
55,55,6,5,50,50,3,Test/01535.png
30,30,5,6,25,25,24,Train/24/00024_00005_00011.png
33,34,6,6,28,29,5,Train/5/00005_00046_00006.png
35,35,6,6,30,30,10,Train/10/00010_00018_00007.png
33,34,5,6,28,29,35,Test/03462.png
35,35,5,5,30,30,3,Train/3/00003_00018_00006.png
38,39,5,5,33,33,3,Train/3/00003_00026_00018.png
35,35,5,6,30,29,21,Train/21/00021_00005_00007.png
34,37,5,6,29,32,38,Test/09650.png
31,29,6,5,26,24,2,Train/2/00002_00048_00005.png
168,168,14,14,154,154,12,Test/03533.png
49,49,6,6,44,44,10,Test/09572.png
44,42,5,5,39,37,11,Test/08843.png
39,38,5,5,34,33,24,Test/05774.png
35,32,5,5,29,27,20,Train/20/00020_00011_00011.png
47,47,5,6,42,42,7,Train/7/00007_00033_00018.png
55,54,6,5,50,49,25,Train/25/00025_00019_00012.png
87,81,7,7,80,74,13,Train/13/00013_00038_00024.png
53,46,6,5,47,40,19,Train/19/00019_00002_00009.png
53,52,5,6,48,47,31,Train/31/00031_00003_00019.png
75,74,7,6,69,68,5,Train/5/00005_00048_00028.png
70,63,6,5,64,58,13,Train/13/00013_00030_00023.png
44,46,6,5,39,41,17,Train/17/00017_00019_00014.png
29,30,5,6,24,25,38,Train/38/00038_00068_00002.png
34,35,5,5,29,30,7,Test/05395.png
36,32,6,6,30,27,26,Train/26/00026_00019_00010.png
38,38,5,5,33,33,34,Train/34/00034_00001_00018.png
28,30,6,5,23,25,38,Train/38/00038_00041_00004.png
41,38,6,5,36,33,13,Train/13/00013_00063_00013.png
33,35,5,6,28,30,7,Train/7/00007_00037_00012.png
31,32,5,5,26,27,14,Train/14/00014_00002_00001.png
33,32,6,5,27,26,3,Train/3/00003_00014_00010.png
46,47,6,6,41,42,4,Train/4/00004_00060_00021.png
31,31,6,6,26,26,13,Train/13/00013_00064_00014.png
54,55,5,6,49,50,1,Train/1/00001_00062_00026.png
37,36,6,5,31,31,10,Train/10/00010_00042_00006.png
29,30,5,5,24,25,8,Train/8/00008_00046_00007.png
31,30,5,5,26,25,8,Train/8/00008_00039_00002.png
50,50,6,6,45,45,32,Train/32/00032_00007_00024.png
43,38,6,6,38,32,26,Train/26/00026_00017_00014.png
29,31,6,5,24,26,5,Train/5/00005_00060_00011.png
39,40,5,6,34,35,10,Train/10/00010_00063_00019.png
39,41,5,6,33,35,35,Test/04144.png
47,47,6,6,42,42,2,Test/02297.png
47,49,5,6,41,43,33,Train/33/00033_00008_00001.png
97,82,9,7,88,75,28,Train/28/00028_00007_00025.png
61,58,6,6,56,52,27,Train/27/00027_00000_00011.png
51,46,6,6,46,41,12,Train/12/00012_00053_00013.png
92,81,9,7,84,74,8,Train/8/00008_00002_00028.png
42,38,5,6,37,33,11,Train/11/00011_00019_00019.png
26,26,5,6,21,21,25,Train/25/00025_00002_00000.png
60,61,6,6,55,56,12,Train/12/00012_00055_00022.png
45,42,5,5,40,37,42,Train/42/00042_00005_00023.png
64,68,5,6,59,62,40,Train/40/00040_00010_00023.png
83,76,7,6,76,70,35,Train/35/00035_00030_00029.png
40,40,6,6,35,35,10,Train/10/00010_00019_00011.png
37,37,5,5,32,32,2,Train/2/00002_00054_00015.png
35,36,5,5,30,31,4,Train/4/00004_00028_00010.png
35,36,5,6,30,31,38,Train/38/00038_00024_00007.png
68,69,7,7,62,63,7,Train/7/00007_00032_00023.png
29,29,5,5,24,24,37,Train/37/00037_00003_00002.png
32,40,5,5,26,35,33,Train/33/00033_00018_00009.png
72,65,7,6,66,60,26,Train/26/00026_00012_00027.png
58,54,6,5,53,48,11,Train/11/00011_00017_00021.png
49,52,6,6,44,47,38,Test/10963.png
39,41,6,6,33,35,1,Train/1/00001_00066_00003.png
42,40,6,6,37,35,29,Test/07340.png
49,50,6,6,44,45,39,Train/39/00039_00001_00024.png
36,32,6,5,30,27,13,Train/13/00013_00034_00003.png
32,34,5,6,26,28,35,Train/35/00035_00003_00015.png
124,110,11,9,114,101,13,Train/13/00013_00057_00023.png
74,65,7,5,68,59,11,Train/11/00011_00034_00020.png
48,52,5,6,43,47,17,Train/17/00017_00019_00018.png
46,44,6,6,41,39,11,Train/11/00011_00013_00009.png
51,51,5,5,45,46,2,Train/2/00002_00008_00023.png
49,54,6,5,44,49,12,Train/12/00012_00066_00019.png
70,70,7,6,64,64,36,Train/36/00036_00002_00027.png
36,34,6,5,31,29,2,Train/2/00002_00010_00012.png
38,36,6,5,33,31,28,Train/28/00028_00016_00003.png
38,44,5,6,33,39,12,Train/12/00012_00066_00005.png
120,109,11,9,110,100,28,Test/09382.png
125,116,11,10,115,105,13,Train/13/00013_00015_00026.png
32,32,6,5,27,27,12,Test/01014.png
39,38,6,5,34,33,14,Test/11906.png
34,33,5,5,28,27,9,Train/9/00009_00007_00011.png
41,43,5,6,36,38,7,Train/7/00007_00012_00021.png
33,35,5,5,28,29,2,Train/2/00002_00031_00006.png
52,48,6,6,47,43,11,Train/11/00011_00018_00008.png
75,68,6,7,69,62,11,Test/08370.png
29,29,5,6,24,24,2,Train/2/00002_00045_00007.png
31,32,6,6,26,27,38,Train/38/00038_00039_00006.png
44,43,5,5,39,38,5,Train/5/00005_00053_00021.png
40,43,5,5,35,38,1,Test/01482.png
34,34,6,5,29,29,38,Train/38/00038_00065_00011.png
27,29,5,6,22,24,4,Train/4/00004_00050_00002.png
63,55,6,6,57,50,18,Test/07876.png
45,44,5,5,40,39,15,Train/15/00015_00010_00020.png
31,30,6,5,26,25,10,Train/10/00010_00043_00010.png
34,35,5,6,29,30,4,Train/4/00004_00062_00009.png
32,32,5,5,27,27,37,Test/05628.png
48,49,6,5,43,44,6,Train/6/00006_00012_00026.png
28,29,5,6,23,24,17,Train/17/00017_00021_00004.png
56,58,6,6,51,53,11,Train/11/00011_00035_00007.png
63,60,5,6,57,55,29,Test/00941.png
34,32,5,5,29,27,28,Train/28/00028_00012_00009.png
36,35,6,5,31,30,8,Train/8/00008_00020_00001.png
27,27,6,6,22,22,35,Train/35/00035_00003_00004.png
40,40,6,6,35,35,12,Train/12/00012_00027_00005.png
29,30,5,6,24,25,2,Test/00412.png
35,35,6,6,30,30,2,Train/2/00002_00074_00010.png
41,41,6,6,36,36,5,Train/5/00005_00057_00016.png
55,49,6,5,50,44,23,Test/06471.png
38,40,5,6,33,35,7,Test/09891.png
52,52,5,5,47,47,10,Train/10/00010_00051_00017.png
32,34,6,6,27,29,38,Test/06318.png
34,33,6,5,29,28,3,Train/3/00003_00020_00008.png
52,49,6,6,47,44,28,Test/07819.png
31,32,5,6,26,27,3,Test/07071.png
53,53,5,6,48,47,18,Test/10318.png
65,58,6,6,60,53,11,Train/11/00011_00022_00011.png
29,31,5,6,24,26,11,Train/11/00011_00030_00008.png
31,35,6,5,25,30,13,Train/13/00013_00023_00006.png
28,28,5,5,23,23,35,Test/10927.png
41,41,5,6,36,36,35,Train/35/00035_00036_00016.png
69,69,6,6,63,63,33,Train/33/00033_00005_00014.png
58,52,5,5,53,47,13,Train/13/00013_00060_00017.png
38,36,6,5,32,31,4,Train/4/00004_00003_00015.png
32,32,6,5,27,27,2,Train/2/00002_00020_00009.png
93,96,9,8,85,88,9,Train/9/00009_00012_00026.png
38,38,5,5,33,33,38,Train/38/00038_00002_00007.png
47,43,6,5,42,38,31,Train/31/00031_00002_00012.png
39,38,5,6,33,32,20,Train/20/00020_00003_00005.png
33,33,6,6,28,28,41,Test/11201.png
60,53,6,5,55,48,13,Train/13/00013_00006_00023.png
52,52,5,6,47,46,9,Train/9/00009_00044_00021.png
29,27,6,6,23,22,25,Train/25/00025_00032_00004.png
57,54,5,6,52,49,13,Train/13/00013_00003_00014.png
161,144,14,13,148,132,13,Train/13/00013_00070_00028.png
121,120,10,10,111,110,10,Train/10/00010_00021_00029.png
57,55,5,5,52,50,4,Train/4/00004_00055_00027.png
40,39,6,5,35,33,26,Train/26/00026_00013_00015.png
34,36,6,6,29,31,2,Train/2/00002_00028_00006.png
27,27,5,5,22,22,20,Train/20/00020_00007_00010.png
46,46,5,6,40,40,5,Train/5/00005_00036_00020.png
52,46,5,5,46,41,28,Train/28/00028_00004_00019.png
40,35,6,6,35,30,10,Train/10/00010_00032_00015.png
39,40,5,5,34,35,38,Train/38/00038_00045_00024.png
31,32,6,5,26,27,36,Train/36/00036_00008_00008.png
86,85,7,8,79,78,22,Train/22/00022_00008_00026.png
41,43,5,6,36,38,5,Train/5/00005_00061_00020.png
50,49,5,6,45,44,25,Train/25/00025_00028_00005.png
31,33,5,5,26,28,38,Train/38/00038_00064_00009.png
41,41,6,6,36,36,12,Test/06661.png
61,59,5,5,56,54,35,Train/35/00035_00008_00017.png
30,32,6,6,25,26,5,Test/08174.png
54,54,5,6,48,48,8,Test/03171.png
53,53,5,5,48,48,10,Train/10/00010_00019_00019.png
39,40,5,6,34,35,38,Train/38/00038_00029_00013.png
67,60,6,6,61,55,11,Train/11/00011_00007_00019.png
44,44,6,6,39,39,5,Test/04167.png
34,29,6,5,29,24,30,Train/30/00030_00013_00006.png
42,41,5,5,37,36,13,Test/10715.png
33,30,6,6,28,25,26,Train/26/00026_00006_00003.png
35,34,6,5,30,29,2,Train/2/00002_00035_00005.png
117,98,11,8,107,90,30,Train/30/00030_00003_00025.png
100,99,8,8,92,91,14,Train/14/00014_00000_00022.png
41,42,5,5,36,37,6,Train/6/00006_00013_00020.png
60,62,6,6,55,57,7,Train/7/00007_00043_00028.png
40,42,6,6,35,37,7,Test/11836.png
49,46,6,6,44,41,40,Train/40/00040_00000_00015.png
36,36,6,6,31,31,20,Train/20/00020_00008_00014.png
27,32,6,6,22,27,38,Train/38/00038_00033_00004.png
44,45,5,6,38,40,16,Train/16/00016_00011_00023.png
54,52,5,6,49,47,35,Train/35/00035_00030_00023.png
72,67,6,6,66,61,18,Train/18/00018_00035_00024.png
52,59,5,6,47,54,38,Test/01698.png
52,56,6,6,47,51,15,Train/15/00015_00012_00029.png
47,47,5,5,42,42,38,Train/38/00038_00062_00021.png
97,97,9,9,89,89,7,Train/7/00007_00016_00025.png
35,34,6,5,30,29,16,Train/16/00016_00004_00011.png
27,27,5,5,22,22,32,Train/32/00032_00006_00000.png
37,37,6,6,32,32,10,Test/06558.png
60,56,5,5,55,51,31,Train/31/00031_00006_00024.png
41,39,6,5,36,34,8,Test/03963.png
31,34,6,6,26,29,9,Test/02081.png
65,61,6,5,60,56,13,Train/13/00013_00015_00005.png
35,33,6,6,30,27,27,Train/27/00027_00007_00005.png
30,31,5,6,25,26,4,Train/4/00004_00030_00000.png
40,37,6,6,35,31,23,Train/23/00023_00004_00012.png
121,112,10,10,111,103,25,Train/25/00025_00000_00029.png
49,45,6,6,43,40,26,Train/26/00026_00011_00008.png
40,41,6,6,35,36,4,Train/4/00004_00022_00020.png
97,96,9,8,89,88,1,Test/00818.png
63,56,6,5,58,51,11,Train/11/00011_00018_00015.png
30,29,6,5,25,24,10,Train/10/00010_00056_00004.png
51,52,5,5,46,47,5,Train/5/00005_00042_00021.png
33,34,5,6,28,29,10,Train/10/00010_00058_00007.png
64,64,5,5,59,59,5,Train/5/00005_00008_00023.png
34,36,5,5,29,31,35,Train/35/00035_00024_00011.png
64,60,6,6,59,55,31,Train/31/00031_00020_00023.png
32,29,5,5,27,24,18,Test/11697.png
44,39,6,5,38,33,25,Train/25/00025_00014_00007.png
52,50,6,5,46,44,1,Test/09530.png
42,43,5,6,37,38,10,Train/10/00010_00019_00014.png
50,46,5,6,45,41,29,Train/29/00029_00002_00015.png
29,31,5,5,24,26,38,Train/38/00038_00067_00002.png
31,33,5,6,26,28,4,Train/4/00004_00010_00008.png
74,70,7,6,68,64,18,Train/18/00018_00005_00001.png
37,39,6,6,32,34,12,Train/12/00012_00015_00005.png
37,38,5,5,31,33,5,Train/5/00005_00044_00009.png
40,39,6,5,35,34,10,Test/03585.png
129,113,12,10,117,104,25,Train/25/00025_00015_00026.png
34,35,5,5,29,29,9,Train/9/00009_00030_00013.png
38,36,6,5,32,31,40,Train/40/00040_00002_00009.png
42,40,6,5,36,35,12,Train/12/00012_00012_00011.png
108,85,10,8,99,78,13,Train/13/00013_00068_00021.png
26,27,5,6,20,21,25,Train/25/00025_00032_00001.png
48,47,6,6,43,42,2,Train/2/00002_00012_00006.png
61,59,6,5,56,53,14,Test/11220.png
50,50,5,5,45,45,10,Train/10/00010_00005_00024.png
46,45,5,6,41,40,25,Train/25/00025_00026_00012.png
43,43,6,6,38,38,38,Test/08912.png
68,61,6,5,61,55,18,Train/18/00018_00020_00004.png
44,42,5,6,39,37,11,Test/07633.png
31,31,6,6,26,26,37,Train/37/00037_00003_00004.png
169,149,14,13,155,137,25,Train/25/00025_00034_00028.png
25,27,5,6,20,22,5,Train/5/00005_00033_00001.png
30,38,6,5,25,33,17,Train/17/00017_00036_00025.png
79,76,7,6,72,70,2,Train/2/00002_00029_00024.png
75,74,7,7,69,68,1,Train/1/00001_00066_00022.png
42,39,5,5,37,34,18,Train/18/00018_00026_00009.png
47,45,6,6,41,40,5,Train/5/00005_00045_00020.png
48,42,5,5,43,37,27,Train/27/00027_00006_00011.png
30,30,5,5,25,25,35,Train/35/00035_00039_00001.png
59,60,6,6,54,55,28,Train/28/00028_00013_00014.png
109,109,9,10,99,100,1,Test/12091.png
35,37,6,5,29,31,6,Train/6/00006_00005_00015.png
42,44,5,5,37,39,15,Train/15/00015_00000_00006.png
32,33,6,5,27,28,3,Train/3/00003_00043_00013.png
51,46,6,5,45,41,13,Train/13/00013_00024_00015.png
93,86,8,8,85,79,29,Train/29/00029_00003_00026.png
53,53,5,5,48,48,4,Train/4/00004_00000_00013.png
67,63,6,5,61,58,25,Train/25/00025_00003_00005.png
26,27,5,6,21,22,13,Train/13/00013_00000_00001.png
42,42,5,5,37,37,12,Train/12/00012_00028_00019.png
48,49,5,6,43,44,12,Train/12/00012_00018_00015.png
28,27,6,5,23,21,7,Train/7/00007_00030_00002.png
37,37,5,6,32,32,20,Test/04762.png
39,39,6,6,33,33,4,Train/4/00004_00009_00013.png
47,46,6,5,42,41,9,Train/9/00009_00014_00015.png
52,52,6,6,47,47,9,Train/9/00009_00004_00024.png
28,27,6,5,23,22,35,Train/35/00035_00028_00002.png
32,33,6,6,27,28,12,Train/12/00012_00063_00008.png
48,51,6,5,43,46,9,Train/9/00009_00017_00020.png
31,32,6,6,26,26,3,Train/3/00003_00007_00008.png
40,88,6,8,35,81,15,Train/15/00015_00001_00017.png
26,26,5,5,21,21,10,Test/05563.png
61,58,6,5,56,53,8,Train/8/00008_00016_00028.png
38,35,6,5,33,30,21,Train/21/00021_00010_00011.png
30,28,5,6,25,23,11,Train/11/00011_00000_00002.png
86,75,8,6,79,69,30,Train/30/00030_00002_00023.png
34,35,5,5,29,30,7,Train/7/00007_00018_00013.png
32,32,6,6,27,27,4,Train/4/00004_00036_00004.png
43,45,6,5,37,39,17,Train/17/00017_00031_00019.png
33,33,5,6,27,27,8,Test/06789.png
75,74,6,6,69,68,5,Train/5/00005_00013_00029.png
55,50,5,5,50,45,25,Train/25/00025_00036_00020.png
31,30,6,5,25,25,35,Train/35/00035_00025_00001.png
34,36,5,6,29,31,8,Train/8/00008_00039_00007.png
33,33,5,5,28,28,11,Train/11/00011_00004_00000.png
62,58,5,6,57,53,13,Train/13/00013_00038_00018.png
31,32,6,5,26,27,5,Train/5/00005_00042_00003.png
38,41,6,5,33,35,33,Train/33/00033_00021_00009.png
27,27,6,6,22,22,6,Test/03303.png
27,27,5,6,22,22,33,Train/33/00033_00001_00002.png
33,30,6,5,27,24,27,Train/27/00027_00005_00005.png
56,55,5,6,51,49,24,Train/24/00024_00002_00004.png
27,27,5,5,22,22,2,Train/2/00002_00006_00004.png
96,96,9,9,88,88,1,Train/1/00001_00051_00029.png
50,45,6,5,45,40,13,Train/13/00013_00043_00014.png
97,87,9,8,89,80,29,Test/08194.png
44,44,5,5,39,39,38,Train/38/00038_00017_00018.png
55,51,5,6,49,46,11,Train/11/00011_00011_00012.png
32,32,5,5,26,26,12,Test/02651.png
39,41,5,6,34,36,6,Train/6/00006_00000_00013.png
58,58,6,6,52,53,14,Train/14/00014_00017_00021.png
36,32,6,5,31,27,27,Train/27/00027_00007_00006.png
37,40,5,5,31,34,15,Train/15/00015_00013_00011.png
59,62,5,5,54,57,42,Train/42/00042_00006_00029.png
88,80,8,8,81,73,26,Train/26/00026_00014_00018.png
42,41,6,6,37,36,11,Train/11/00011_00043_00013.png
107,116,9,11,98,106,10,Train/10/00010_00053_00027.png
34,37,5,5,29,31,38,Test/02410.png
26,27,5,5,20,22,38,Train/38/00038_00000_00002.png
44,40,6,6,38,34,28,Train/28/00028_00003_00011.png
52,46,5,6,47,41,26,Train/26/00026_00017_00020.png
35,35,5,6,30,30,2,Train/2/00002_00042_00014.png
37,35,5,6,32,30,26,Train/26/00026_00005_00001.png
96,75,8,6,88,69,21,Train/21/00021_00008_00021.png
31,32,5,6,26,27,1,Test/02869.png
117,117,10,10,107,107,14,Train/14/00014_00000_00024.png
89,89,8,8,82,82,15,Test/05575.png
146,132,12,11,134,121,21,Train/21/00021_00003_00028.png
37,36,6,5,32,31,4,Test/07333.png
71,70,7,6,64,64,35,Train/35/00035_00009_00024.png
111,98,9,9,102,90,28,Train/28/00028_00007_00029.png
51,51,5,5,46,46,35,Train/35/00035_00005_00022.png
49,47,5,6,44,42,20,Test/06402.png
39,40,5,6,34,35,10,Test/01726.png
33,34,5,6,28,29,36,Train/36/00036_00008_00010.png
87,76,8,7,80,70,30,Test/00443.png
42,42,6,6,37,37,16,Test/11060.png
53,52,6,5,47,47,33,Train/33/00033_00007_00008.png
95,85,9,7,87,78,23,Test/00879.png
71,71,6,6,65,65,39,Train/39/00039_00008_00026.png
56,49,6,6,51,44,11,Train/11/00011_00027_00010.png
41,39,5,5,36,34,28,Train/28/00028_00017_00009.png
64,63,5,5,59,58,37,Train/37/00037_00003_00027.png
28,30,5,6,23,25,6,Train/6/00006_00006_00006.png
38,38,5,5,33,33,2,Train/2/00002_00018_00015.png
87,88,7,8,80,81,24,Test/12104.png
74,71,6,7,67,64,1,Train/1/00001_00058_00023.png
27,29,5,5,22,23,2,Train/2/00002_00072_00005.png
91,91,8,8,83,83,10,Test/00872.png
28,28,5,6,23,23,18,Train/18/00018_00021_00001.png
43,42,6,6,38,37,25,Train/25/00025_00019_00000.png
45,44,6,5,40,39,15,Train/15/00015_00009_00010.png
53,55,5,6,48,50,1,Train/1/00001_00027_00021.png
122,135,10,12,112,123,1,Train/1/00001_00006_00028.png
35,34,6,5,30,29,39,Train/39/00039_00003_00010.png
55,49,5,6,50,44,13,Train/13/00013_00040_00019.png
50,49,6,5,45,44,2,Train/2/00002_00026_00020.png
32,32,6,6,27,27,3,Train/3/00003_00004_00001.png
117,116,11,10,106,106,12,Train/12/00012_00052_00016.png
47,46,5,5,42,41,13,Train/13/00013_00063_00019.png
109,111,9,9,100,102,38,Train/38/00038_00041_00029.png
57,56,6,5,52,51,7,Train/7/00007_00005_00018.png
32,34,5,6,27,29,1,Train/1/00001_00024_00027.png
70,64,6,5,64,59,18,Train/18/00018_00021_00024.png
55,47,6,5,50,42,31,Test/07839.png
40,40,5,5,35,35,6,Train/6/00006_00011_00016.png
51,53,6,6,45,48,12,Train/12/00012_00047_00012.png
40,39,6,6,35,34,25,Train/25/00025_00044_00007.png
192,173,17,15,176,158,26,Train/26/00026_00015_00028.png
75,74,7,7,69,68,4,Train/4/00004_00036_00024.png
52,49,5,5,46,44,11,Train/11/00011_00013_00012.png
49,50,5,5,44,45,19,Test/11453.png
42,44,5,6,37,39,35,Train/35/00035_00011_00021.png
56,52,6,5,51,47,5,Train/5/00005_00028_00026.png
32,29,6,6,27,24,10,Test/01365.png
29,30,5,5,24,24,1,Test/05822.png
191,178,16,16,175,163,11,Test/10171.png
116,112,11,9,106,102,9,Test/11260.png
83,82,7,7,75,75,1,Train/1/00001_00063_00026.png
94,83,9,8,86,76,26,Train/26/00026_00015_00002.png
29,29,6,6,24,24,33,Train/33/00033_00022_00011.png
61,56,5,6,56,51,24,Train/24/00024_00007_00017.png
41,42,5,6,36,37,9,Train/9/00009_00036_00010.png
34,34,6,6,29,29,1,Train/1/00001_00016_00001.png
31,37,6,5,25,31,38,Train/38/00038_00001_00002.png
51,48,6,6,46,43,25,Train/25/00025_00002_00016.png
122,110,10,9,112,101,23,Test/08603.png
61,61,6,5,56,56,10,Train/10/00010_00045_00025.png
58,57,6,5,53,52,2,Train/2/00002_00052_00007.png
83,72,8,6,75,66,23,Test/09256.png
30,31,6,6,25,26,4,Train/4/00004_00008_00004.png
58,57,6,5,53,52,10,Train/10/00010_00007_00021.png
50,51,5,6,45,46,12,Test/04424.png
43,43,5,5,38,38,1,Test/00091.png
39,39,5,5,34,34,41,Test/01121.png
38,38,6,6,32,33,35,Train/35/00035_00027_00012.png
37,38,6,5,32,33,38,Train/38/00038_00061_00008.png
50,51,6,6,45,46,2,Train/2/00002_00040_00025.png
68,101,7,9,62,92,38,Train/38/00038_00052_00018.png
43,49,5,5,38,44,35,Train/35/00035_00037_00015.png
31,30,6,5,26,25,9,Test/12069.png
35,36,5,6,30,31,5,Train/5/00005_00021_00010.png
33,30,6,6,27,25,8,Train/8/00008_00015_00003.png
40,39,6,5,35,34,7,Train/7/00007_00021_00016.png
27,28,5,5,22,23,7,Train/7/00007_00044_00005.png
44,41,6,6,39,36,30,Test/11617.png
39,39,5,5,34,34,15,Train/15/00015_00010_00017.png
49,51,6,6,44,46,28,Train/28/00028_00016_00015.png
37,36,5,5,31,31,9,Train/9/00009_00004_00014.png
121,130,11,12,111,119,3,Test/09112.png
51,50,5,5,46,45,3,Train/3/00003_00037_00021.png
